filename,beta,gamma,sim_id,num_rows,max_time,generated_at
b0.10_g0.10_sim44.csv,0.1,0.1,44,46,45.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim45.csv,0.1,0.1,45,34,33.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim46.csv,0.1,0.1,46,34,33.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim47.csv,0.1,0.1,47,35,34.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim48.csv,0.1,0.1,48,71,70.0,2025-04-07T21:22:44.761847
b0.10_g0.10_sim49.csv,0.1,0.1,49,55,54.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim0.csv,0.1,0.2,0,19,18.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim1.csv,0.1,0.2,1,20,19.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim2.csv,0.1,0.2,2,32,31.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim3.csv,0.1,0.2,3,35,34.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim4.csv,0.1,0.2,4,43,42.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim5.csv,0.1,0.2,5,28,27.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim6.csv,0.1,0.2,6,20,19.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim7.csv,0.1,0.2,7,23,22.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim8.csv,0.1,0.2,8,24,23.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim9.csv,0.1,0.2,9,27,26.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim10.csv,0.1,0.2,10,41,40.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim11.csv,0.1,0.2,11,30,29.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim12.csv,0.1,0.2,12,38,37.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim13.csv,0.1,0.2,13,31,30.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim14.csv,0.1,0.2,14,17,16.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim15.csv,0.1,0.2,15,21,20.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim16.csv,0.1,0.2,16,31,30.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim17.csv,0.1,0.2,17,25,24.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim18.csv,0.1,0.2,18,27,26.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim19.csv,0.1,0.2,19,24,23.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim20.csv,0.1,0.2,20,28,27.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim21.csv,0.1,0.2,21,22,21.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim22.csv,0.1,0.2,22,29,28.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim23.csv,0.1,0.2,23,34,33.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim24.csv,0.1,0.2,24,24,23.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim25.csv,0.1,0.2,25,25,24.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim26.csv,0.1,0.2,26,28,27.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim27.csv,0.1,0.2,27,25,24.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim28.csv,0.1,0.2,28,30,29.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim29.csv,0.1,0.2,29,25,24.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim30.csv,0.1,0.2,30,22,21.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim31.csv,0.1,0.2,31,53,52.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim32.csv,0.1,0.2,32,24,23.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim33.csv,0.1,0.2,33,34,33.0,2025-04-07T21:22:44.761847
b0.10_g0.20_sim34.csv,0.1,0.2,34,22,21.0,2025-04-07T21:22:44.761847
